entry_ts,exit_ts,pnl_pct
2025-06-13 14:30:00+00:00,2025-06-13 15:00:00+00:00,0.44888623707239916
2025-06-14 00:00:00+00:00,2025-06-14 07:00:00+00:00,-1.5
2025-06-19 09:30:00+00:00,2025-06-19 15:00:00+00:00,-1.5
2025-06-20 11:00:00+00:00,2025-06-20 12:30:00+00:00,0.2583125519534488
2025-06-20 09:00:00+00:00,2025-06-20 13:00:00+00:00,0.29984216647283973
2025-06-24 09:00:00+00:00,2025-06-24 09:30:00+00:00,0.3535018112816956
2025-06-24 11:00:00+00:00,2025-06-24 12:00:00+00:00,0.20705942974922226
2025-06-24 15:30:00+00:00,2025-06-24 16:00:00+00:00,0.07885504021906539
2025-06-25 00:00:00+00:00,2025-06-25 02:00:00+00:00,0.18190330268981758
2025-06-25 07:00:00+00:00,2025-06-25 07:30:00+00:00,0.3186341798215531
2025-06-27 15:00:00+00:00,2025-06-27 15:30:00+00:00,0.33195228555818723
2025-06-28 09:30:00+00:00,2025-06-28 15:30:00+00:00,0.3304864961545351
2025-06-29 10:30:00+00:00,2025-06-29 15:30:00+00:00,-1.5
2025-06-30 13:00:00+00:00,2025-06-30 13:30:00+00:00,0.13405280057081986
2025-06-30 16:00:00+00:00,2025-06-30 16:30:00+00:00,0.07363315696649014
