entry_ts,exit_ts,pnl_pct
2025-06-15 10:30:00+00:00,2025-06-15 11:00:00+00:00,0.5
2025-06-16 11:30:00+00:00,2025-06-16 12:00:00+00:00,0.5
2025-06-18 17:30:00+00:00,2025-06-18 18:00:00+00:00,0.5
2025-06-19 11:00:00+00:00,2025-06-19 13:30:00+00:00,-1.5
2025-06-21 16:00:00+00:00,2025-06-21 16:30:00+00:00,0.5
2025-06-23 11:30:00+00:00,2025-06-23 12:00:00+00:00,0.5
2025-06-24 15:30:00+00:00,2025-06-24 16:30:00+00:00,0.5
2025-06-25 09:00:00+00:00,2025-06-25 09:30:00+00:00,0.5
2025-06-25 10:00:00+00:00,2025-06-25 10:30:00+00:00,0.5
2025-06-27 13:00:00+00:00,2025-06-27 13:30:00+00:00,0.5
2025-06-27 14:30:00+00:00,2025-06-27 15:00:00+00:00,0.5
2025-06-27 19:30:00+00:00,2025-06-27 20:00:00+00:00,0.5
2025-06-29 15:00:00+00:00,2025-06-29 18:30:00+00:00,0.5
2025-06-30 14:00:00+00:00,2025-06-30 14:30:00+00:00,0.5
2025-07-02 13:00:00+00:00,2025-07-02 13:30:00+00:00,0.5
