entry_ts,exit_ts,pnl_pct
2025-06-15 10:30:00+00:00,2025-06-15 11:00:00+00:00,0.505595468361429
2025-06-16 11:30:00+00:00,2025-06-16 12:00:00+00:00,0.4307734521273169
2025-06-18 17:30:00+00:00,2025-06-18 18:00:00+00:00,0.24653907385616705
2025-06-21 16:00:00+00:00,2025-06-21 16:30:00+00:00,0.06814291827129121
2025-06-23 11:30:00+00:00,2025-06-23 12:00:00+00:00,0.34368910208364567
2025-06-25 09:00:00+00:00,2025-06-25 09:30:00+00:00,-0.031226421565262785
2025-06-25 10:00:00+00:00,2025-06-25 10:30:00+00:00,0.2396864686468643
2025-06-27 13:00:00+00:00,2025-06-27 13:30:00+00:00,0.27123593119558376
2025-06-27 19:30:00+00:00,2025-06-27 20:00:00+00:00,0.4450492942761838
